image,text
trocr_data/train_images/train_00000.png,put down a resolution on the subject
trocr_data/train_images/train_00001.png,and he is to be backed by Mr. Will
trocr_data/train_images/train_00002.png,nominating any more Labour life Peers
trocr_data/train_images/train_00003.png,M Ps tomorrow. Mr. Michael Foot has
trocr_data/train_images/train_00004.png,"Griffiths, M P for Manchester Exchange ."
trocr_data/train_images/train_00005.png,is to be made at a meeting of Labour
trocr_data/train_images/train_00006.png,A MOVE to stop Mr. Gaitskell from
trocr_data/train_images/train_00007.png,0M P for Manchester Exchange .
trocr_data/train_images/train_00008.png,A MOVE to stop Mr. Gaitskell from nominating
trocr_data/train_images/train_00009.png,meeting of Labour 0M Ps tommorow . Mr. Michael
trocr_data/train_images/train_00010.png,any more Labour life Peers is to be made at a
trocr_data/train_images/train_00011.png,Foot has put down a resolution on the subject
trocr_data/train_images/train_00012.png,"and he is to be backed by Mr. Will Griffiths ,"
trocr_data/train_images/train_00013.png,"which would appear to "" prop up "" an out-dated"
trocr_data/train_images/train_00014.png,"Though they may gather some Left-wing support , a"
trocr_data/train_images/train_00015.png,"life peers into existence , they should not"
trocr_data/train_images/train_00016.png,and that Labour should not take any steps
trocr_data/train_images/train_00017.png,now put forward nominees . He believes
trocr_data/train_images/train_00018.png,large majority of Labour M Ps are likely to
trocr_data/train_images/train_00019.png,that the House of Lords should be abolished
trocr_data/train_images/train_00020.png,institution .
trocr_data/train_images/train_00021.png,opposed the Government Bill which brought
trocr_data/train_images/train_00022.png,turn down the Foot-Griffiths resolution . Mr.
trocr_data/train_images/train_00023.png,Foot's line will be that as Labour M Ps
trocr_data/train_images/train_00024.png,"into existence , they should not now put"
trocr_data/train_images/train_00025.png,Though they may gather some Left-wing
trocr_data/train_images/train_00026.png,"which would appear to "" prop up "" an out-"
trocr_data/train_images/train_00027.png,House of Lords should be abolished and
trocr_data/train_images/train_00028.png,M Ps are likely to turn down the Foot-
trocr_data/train_images/train_00029.png,that Labour should not take any steps
trocr_data/train_images/train_00030.png,be that as Labour M Ps opposed the
trocr_data/train_images/train_00031.png,forward nominees . He believes that the
trocr_data/train_images/train_00032.png,Government Bill which brought life peers
trocr_data/train_images/train_00033.png,Griffiths resolution . Mr. Foot's line will
trocr_data/train_images/train_00034.png,"support , a large majority of Labour"
trocr_data/train_images/train_00035.png,will be that as Labour 0M Ps opposed the Govern-
trocr_data/train_images/train_00036.png,that Labour should not take any steps which would
trocr_data/train_images/train_00037.png,"appear to "" prop up "" an out-dated institution ."
trocr_data/train_images/train_00038.png,large majority of Labour 0m Ps are likely to turn
trocr_data/train_images/train_00039.png,that the House of Lords should be abolished and
trocr_data/train_images/train_00040.png,"Though they may gather some Left-wing support , a"
trocr_data/train_images/train_00041.png,down the Foot-Griffiths resolution . Mr. Foot's line
trocr_data/train_images/train_00042.png,"ment Bill which brought life peers into existence , they"
trocr_data/train_images/train_00043.png,should not now put forward nominees . He believes
trocr_data/train_images/train_00044.png,get together to face the challenge from Sir
trocr_data/train_images/train_00045.png,members . THE two rival African Nationalist
trocr_data/train_images/train_00046.png,"Roy Welensky , the Federal Premier ."
trocr_data/train_images/train_00047.png,Parties of Northern Rhodesia have agreed to
trocr_data/train_images/train_00048.png,Peeresses have been created . Most Labour
trocr_data/train_images/train_00049.png,Labour has to have an adequate number of
trocr_data/train_images/train_00050.png,sentiment would still favour the abolition
trocr_data/train_images/train_00051.png,"of the House of Lords , but while it remains"
trocr_data/train_images/train_00052.png,"Since 1958 , 13 Labour life Peers and"
trocr_data/train_images/train_00053.png,of members . THE two rival African
trocr_data/train_images/train_00054.png,Peeresses have been created . Most Labour
trocr_data/train_images/train_00055.png,"the challenge from Sir Roy Welensky ,"
trocr_data/train_images/train_00056.png,"of the House of Lords , but while it remains"
trocr_data/train_images/train_00057.png,have agreed to get together to face
trocr_data/train_images/train_00058.png,"Since 1958 , 13 Labour life Peers and"
trocr_data/train_images/train_00059.png,the Federal Premier .
trocr_data/train_images/train_00060.png,Labour has to have an adequate number
trocr_data/train_images/train_00061.png,Nationalist Parties of Northern Rhodesia
trocr_data/train_images/train_00062.png,sentiment would still favour the abolition
